popul,año,id_track,artist,song,duration,
72,2018,48zFZh27QU5qsrBjn4C2FA,Ozuna,Vaina Loca,176.133,
72,2018,48zFZh27QU5qsrBjn4C2FA,Manuel Turizo,Vaina Loca,176.133,
72,2018,1mlGScrDQqHqmhdIqE8MmA,Morat,Besos En Guerra,231.532,
72,2018,1mlGScrDQqHqmhdIqE8MmA,Juanes,Besos En Guerra,231.532,
72,2017,1OAh8uOEOvTDqkKFsKksCi,Bryson Tiller,Wild Thoughts (feat. Rihanna & Bryson Tiller),204.173,
72,2013,51ODNNDZm21HU7wI7cccRr,Disclosure,Latch,255.631,
72,2012,7DFNE7NO0raLIUbgzY2rzm,Passenger,Let Her Go,252.866,
72,2012,4lCv7b86sLynZbXhfScfm2,Katy Perry,Firework,227.88,
72,2011,4RL77hMWUq35NYnPLXBpih,Birdy,Skinny Love,201.08,
72,2011,4Jv7lweGIUOFQ7Oq2AtAh9,The Magician,I Follow Rivers - The Magician Remix,280.069,
72,2007,54KFQB6N4pn926IUUYZGzK,Patrick Watson,To Build A Home,371.32,
72,2006,7BHPGtpuuWWsvE7cCaMuEU,The Kooks,Naive,203.506,
72,2006,0faXHILILebCGnJBPU6KJJ,Breaking Benjamin,The Diary of Jane - Single Version,200.546,
72,2004,66iygyOSvvoQQsKJ1vEXfT,Franco De Vita,Tú de Qué Vas,238.16,
72,2000,4uOKFydzAejjSFqYbv1XPt,UB40,Red Red Wine,183.733,
72,1993,1LzNfuep1bnAUR9skqdHCK,Mazzy Star,Fade Into You,295.6,
72,1981,2dCmGcEOQrMQhMMS8Vj7Ca,Rick James,Super Freak,205.466,
72,1977,4xh7W7tlNMIczFhupCPniY,Fleetwood Mac,Go Your Own Way - 2004 Remaster,223.613,
71,2017,6SwRhMLwNqEi6alNPVG00n,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,227.36,
71,2015,1Cj2vqUwlJVG27gJrun92y,Disturbed,The Sound of Silence,248.466,
71,2015,0M3adYbGtyRHACP86dey1H,Bring Me The Horizon,Throne,191.52,
71,2014,5hheGdf1cb4rK0FNiedCfK,Slipknot,The Devil in I,342.821,
71,2013,3gbBpTdY8lnQwqxNCcf795,Bastille,Pompeii,214.147,
71,2012,3n69hLUdIsSa1WlRmjMZlW,alt-J,Breezeblocks,227.08,
71,2012,1hWYT0w2R0J19rlVkiez7X,Guy Sebastian,Battle Scars,250.32,
71,2006,56sk7jBpZV0CD31G9hEU3b,Three Days Grace,Animal I Have Become,231.4,
71,1999,4yKZACkuudvfd600H2dQie,Kool & The Gang,Get Down On It - Single Version,212.906,
71,1998,0smyCrJiibi2uwCiq5R1vj,Eagle-Eye Cherry,Save Tonight,242.733,
71,1995,2aBxt229cbLDOvtL7Xbb9x,Mariah Carey,Always Be My Baby,258.133,
71,1993,119c93MHjrDLJTApCVGpvx,Wu-Tang Clan,C.R.E.A.M.,252.186,
71,1992,7fcfNW0XxTWlwVlftzfDOR,Pantera,Walk,315.12,
71,1986,0WQiDwKJclirSYG9v5tayI,The Smiths,There Is a Light That Never Goes Out - 2011 Remaster,244.586,
71,1977,1i6N76fftMZhijOzFQ5ZtL,Talking Heads,Psycho Killer - 2005 Remaster,261.413,
71,1973,1ju7EsSGvRybSNEsRvc7qY,Lynyrd Skynyrd,Simple Man,356.626,
70,2018,2ijef6ni2amuunRoKTlgww,Becky G,Sin Pijama,188.56,
70,2018,222B3aljXx6fFwKmFjuBED,Little Mix,Woman Like Me (feat. Nicki Minaj),229.72,
70,2016,2hgzdQdnfWwtdpZbhZlV72,Jennifer Lopez,Ain't Your Mama,218.234,
70,2015,0k6DnZMLoEUH8NGD5zh2SE,Chris Brown,Ayo,225.226,
70,2014,7aXuop4Qambx5Oi3ynsKQr,Juicy J,I Don't Mind (feat. Juicy J),251.989,
70,2013,13P5rwmk2EsoFRIz9UCeh9,Echosmith,Cool Kids,237.626,
70,2012,7DfFc7a6Rwfi3YQMRbDMau,Frank Ocean,Thinkin Bout You,200.746,
70,2009,3EUl8M6SzxZl03NPkB8mUd,Brooks & Dunn,Neon Moon,263.76,
70,2007,6rUp7v3l8yC4TKxAAR5Bmx,Three Days Grace,I Hate Everything About You,231.48,
70,2006,0HDHY6RSHHG2ZTE0cMT4GJ,Aventura,Los Infieles,257.186,
70,2005,5lDriBxJd22IhOH9zTcFrV,The All-American Rejects,Dirty Little Secret,193.653,
70,2002,6y20BV5L33R8YXM0YuI38N,Queens of the Stone Age,No One Knows,278.746,
70,1996,6hs3SDnbO3f6VQuPO4KBEb,Rusted Root,Send Me on My Way,263.333,
70,1996,2KVwlelhxKUy8LVV6JypH3,Matchbox Twenty,Push,238.666,
70,1996,0z1b34WikhOH9ZxU8QDWcv,The Wallflowers,One Headlight,312.626,
70,1995,0pdfN7nOHMYmKykzu1cyfm,Shania Twain,Any Man Of Mine,246.76,
70,1994,0Xg68XXMRWzKQvD5S6BFvI,David Lee Murphy,Dust On The Bottle,224.666,
70,1992,5sFDReWLrZHLFZFjHsjUTS,Alice In Chains,Would?,206.773,
70,1989,1KU5EHSz04JhGg3rReGJ0N,Alannah Myles,Black Velvet,287.44,
70,1985,6tu2FHuKL9C8pwNrityweQ,Hombres G,Te quiero,225.76,
70,1981,3nFJbZCHP4d9vduKjJLdBL,Luther Vandross,Never Too Much,230.466,
70,1980,4rcHWl68ai6KvpXlc8vbnE,REO Speedwagon,Keep on Loving You,200.293,
70,1976,3WMbD1OyfKuwWDWMNbPQ4g,Boney M.,Daddy Cool,208.6,
70,1975,6Vjk8MNXpQpi0F4BefdTyq,Led Zeppelin,Kashmir - Remaster,517.125,
70,1973,4fUU9WKxEgJXyrZJsUA2iP,The Marshall Tucker Band,Can't You See,365.093,
70,1973,1H4idkmruFoJBg1DvUv2tY,Wings,Band On The Run - Remastered 2010,313.026,
69,2021,0SZPXD0uEl72YjUVY2K3E9,Ty Dolla $ign,"The Business, Pt. II",164.267,
69,2020,0dZpw3h6KZhcHec61qwevZ,Conkarah,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,210.328,
69,2019,0YZEYxd1oiqZRFhnnmTKKi,Motionless In White,Another Life,205.394,
69,2014,7cpCU3Denug5NGZsSpQl8v,John Mayer,XO,213.626,
69,2014,70fVcEP5pRrxaIICY3DcPe,Río Roma,Mi Persona Favorita,190.48,
69,2014,6kwAbEjseqBob48jCus7Sz,Sia,Elastic Heart,257.2,
